Label,Leer,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,Verfasser
"Q67,3",232,0,0,0,0,0,4,1,2,0,0,0,0,0,"Storm, Theodor"
"Q67,5",259,0,0,0,0,0,4,1,2,0,0,0,0,0,"Storm, Theodor"
"Q67,6",209,7,1,0,0,0,1,2,2,0,1,0,0,0,"Storm, Theodor"
"Q67,8",233,0,0,0,0,0,3,1,2,0,0,0,0,0,"Storm, Theodor"
"Q67,9",224,0,0,0,0,0,3,1,1,0,0,0,0,0,"Storm, Theodor"
Q68,259,0,0,0,0,1,1,1,1,1,0,0,0,0,"Storm, Theodor"
Q69,217,0,0,0,0,2,2,2,2,1,0,0,0,0,"Trojan, Johannes"
Q7,32,0,0,0,0,1,3,2,1,1,0,0,0,0,"Fontane, Theodor"
Q70,226,0,0,0,0,0,5,2,2,0,0,0,0,0,"Trojan, Johannes"
Q71,86,0,0,0,0,0,1,1,1,2,0,0,0,0,[ohne Angabe]
Q72,54,0,0,0,0,0,1,1,1,1,0,0,0,0,[ohne Angabe]
Q73,461,0,2,0,12,0,6,2,1,1,0,0,0,0,"Vilmar, A[ugust] F[riedrich] C[hristian] "
Q74,302,1,0,0,0,8,24,1,6,8,0,2,0,0,"Wichmann, Herman "
Q75,328,16,0,0,0,1,21,1,1,2,2,0,0,0,"Wilbrandt, Adolf"
Q76,584,40,13,0,4,0,137,1,2,14,26,1,0,0,"Immermann, Karl"
Q77,291,0,0,0,0,0,1,1,1,0,0,0,0,0,"Wegner, Bertha"
Q78,235,0,0,0,0,0,1,1,2,1,0,0,0,0,"Zolling, Theophil"
Q79,190,0,0,0,0,0,14,1,1,0,0,0,0,0,"Fontane, Theodor"
Q8,464,0,1,1,1,0,12,3,1,5,0,1,0,0,"Fontane, Theodor"
Q80,674,0,0,0,0,0,9,1,2,0,0,0,0,0,"Lübke, Wilhelm"
Q81,1250,3,1,0,3,0,20,1,1,0,0,0,0,0,"Lübke, Wilhelm"
Q82,648,0,0,0,1,0,4,3,2,11,0,1,0,0,[ohne Angabe]
"Q83,1",600,0,0,0,2,0,11,1,1,2,0,0,0,0,"Ritter, Benjamin"
"Q83,2",910,1,0,1,0,0,5,1,1,1,0,1,0,0,"Ritter, Benjamin"
"Q84,Suppl.",369,0,0,0,0,0,3,1,1,1,0,0,0,0,"Sachs, Karl"
Q84,1374,0,0,0,2,0,165,1,2,0,0,0,0,0,"Sachs, Karl"
"Q85,1",466,3,4,0,2,0,4,1,1,0,0,0,0,0,"Zedlitz-Neukirch, Leopold von"
"Q85,2",514,0,0,0,0,0,4,1,1,0,0,0,0,0,"Zedlitz-Neukirch, Leopold von"
"Q85,3",516,4,1,0,0,0,2,1,1,0,0,0,0,0,"Zedlitz-Neukirch, Leopold von"
"Q85,4",492,1,0,1,2,0,1,1,1,0,0,1,0,0,"Zedlitz-Neukirch, Leopold von"
"Q85,5",673,0,0,0,0,0,1,1,1,0,0,0,0,0,"Zedlitz-Neukirch, Leopold von"
Q86,22,0,0,0,0,0,0,2,1,0,0,0,0,0,[ohne Angabe]
Q87(1854),383,0,0,0,1,0,1,2,1,0,0,0,0,0,[ohne Angabe]
Q87(1857),104,0,1,0,0,0,2,1,1,0,0,1,0,0,[ohne Angabe]
Q88(1858),102,0,0,0,0,0,3,1,1,0,0,0,0,0,[ohne Angabe]
Q88(1859),106,0,0,1,0,0,1,1,1,0,0,1,0,0,[ohne Angabe]
Q88(1860),103,0,0,0,0,0,2,1,1,0,0,0,0,0,[ohne Angabe]
Q89,428,0,0,0,0,0,2,1,2,0,0,0,0,0,[ohne Angabe]
"Q9,1-2",340,0,3,0,2,0,2,3,1,1,0,0,0,0,"Fontane, Theodor"
"Q9,3-4",505,0,0,0,0,0,1,3,1,0,0,0,0,0,"Fontane, Theodor"
Q90,417,1,1,0,3,0,12,2,6,1,0,0,0,0,[ohne Angabe]
Q91,247,0,0,1,1,0,4,1,2,1,0,0,0,0,[ohne Angabe]
Q92,234,1,1,1,0,0,2,1,2,2,0,0,0,0,[ohne Angabe]
Q93,260,0,0,1,0,0,3,2,2,0,0,0,0,0,"Bodenstedt, Friedrich "
Q94,228,0,2,0,9,0,7,3,1,3,0,0,0,0,"Spielhagen, Friedrich"
Q95,325,0,0,0,0,0,4,1,4,0,0,0,0,0,"Fontane, Theodor"
Q97,20,0,1,0,0,0,2,3,1,1,0,0,0,0,"Riedel, A.F. "
Q98,215,3,11,23,4,0,4,3,1,0,0,24,0,0,"Scherenberg, Christian Friedrich"
Q99,276,8,1,0,0,0,1,3,1,0,0,3,0,0,"Scherenberg, Christian Friedrich"
"VI,12(Andr.)",110,7,0,1,0,0,0,5,3,1,4,2,0,0,"Stempel, Max"
