level,x,y,ID,Verfasser,Seitenzahl,Leer,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,LeerTotal,AnstreichungTotal,UnterstreichungTotal,DurchstreichungTotal,SonstigeMarkierungTotal,ZusatzMaterialTotal,AnderesTotal,ProvenienzTotal,StempelTotal,KommentarTotal,BewertungTotal,TextkorrekturTotal,VarianteTotal,UebersetzungTotal,Bio
verfasser,2.9001447578037975,-1.9600152095605459,"Stempel, Max","Stempel, Max",124,110,7,0,1,0,0,0,5,3,1,4,2,0,0,110,7,0,1,0,0,0,5,3,1,4,2,0,0,
verfasser,0.30584134143386377,1.2033168009594002,"Storm, Theodor","Storm, Theodor",2702,2581,7,5,1,4,1,29,12,18,1,1,0,0,0,2581,7,5,1,4,1,29,12,18,1,1,0,0,0,"Hans Theodor Woldsen Storm (* 14. September 1817 in Husum; † 4. Juli 1888 in Hanerau-Hademarschen) war ein deutscher Schriftsteller, der als Lyriker und als Autor von Novellen und Prosa des deutschen Realismus mit norddeutscher Prägung bedeutend war."
verfasser,1.0271991870256405,0.4778358276956507,"Trojan, Johannes","Trojan, Johannes",475,443,0,0,0,0,2,7,4,4,1,0,0,0,0,443,0,0,0,0,2,7,4,4,1,0,0,0,0,"Johannes Trojan (* 14. August 1837 in Danzig; † 21. November 1915[1] in Rostock) war ein deutscher Schriftsteller. Johannes Trojan verfasste Erzählungen, Plaudereien, Reiseberichte sowie Beiträge zur deutschen Pflanzenwelt."
verfasser,-0.24885515754874601,0.11449930080174965,"Vilmar, A[ugust] F[riedrich] C[hristian] ","Vilmar, A[ugust] F[riedrich] C[hristian] ",488,461,0,2,0,12,0,6,2,1,1,0,0,0,0,461,0,2,0,12,0,6,2,1,1,0,0,0,0,"August Friedrich Christian Vilmar (* 21. November 1800 in Solz bei Bebra, Hessen; † 30. Juli 1868 in Marburg) war ein konservativer lutherischer Theologe."
verfasser,-1.8016436772435003,-1.300854515752947,"Voß, Sophie Marie Gräfin von ","Voß, Sophie Marie Gräfin von ",457,407,12,16,0,3,0,8,2,3,5,0,1,0,0,407,12,16,0,3,0,8,2,3,5,0,1,0,0,"Sophie Wilhelmine Charlotte Marie Gräfin von Voß, geb. von Pannwitz (* 11. März 1729 in Schönfließ (Oberhavel); † 31. Dezember 1814 in Berlin) lebte neunundsechzig Jahre am preußischen Hof und war über Jahrzehnte Gesprächspartnerin und Beraterin von Königinnen und Königen."
verfasser,0.23592652560772706,0.9017385380090969,"Wegner, Bertha","Wegner, Bertha",294,291,0,0,0,0,0,1,1,1,0,0,0,0,0,291,0,0,0,0,0,1,1,1,0,0,0,0,0,
verfasser,2.895868612389782,5.855174146555284,"Wichmann, Herman ","Wichmann, Herman ",348,302,1,0,0,0,8,24,1,6,8,0,2,0,0,302,1,0,0,0,8,24,1,6,8,0,2,0,0,Hermann Wichmann (* 22. Oktober 1823 in Berlin; † 27. August 1905 in Rom) war ein deutscher Komponist und Schriftsteller.
verfasser,-0.5788020427212408,0.19345313892400479,"Wilbrandt, Adolf","Wilbrandt, Adolf",384,328,16,0,0,0,1,21,1,1,2,2,0,0,0,328,16,0,0,0,1,21,1,1,2,2,0,0,0,Adolf von Wilbrandt (* 24. August 1837 in Rostock; † 10. Juni 1911 ebenda) war deutscher Schriftsteller und Direktor des Burgtheaters in Wien.
verfasser,-0.3617604687294698,0.45041805845693184,"Zedlitz-Neukirch, Leopold von","Zedlitz-Neukirch, Leopold von",2936,2874,8,5,1,4,1,12,10,5,0,0,1,0,0,2874,8,5,1,4,1,12,10,5,0,0,1,0,0,"Ernst Leopold von Zedlitz-Neukirch (* 7. Juli 1792 in Tiefhartmannsdorf in Schlesien; † 26. Oktober 1864 in Berlin) war ein deutscher Schriftsteller, Statistiker und Historiker."
verfasser,0.5085412805750426,1.2474393327501687,"Zolling, Theophil","Zolling, Theophil",243,235,0,0,0,0,0,1,1,2,1,0,0,0,0,235,0,0,0,0,0,1,1,2,1,0,0,0,0,"Theophil Zolling (* 30. Dezember 1849 in Scafati bei Neapel; † 23. März 1901 in Berlin) war ein deutscher Journalist, Herausgeber, Literaturkritiker und Romancier."
buch,4.042438221160583,-1.8475061421470316,B454,"Lubliner, Hugo",494,478,0,0,0,1,2,3,6,0,1,0,0,0,0,478,0,0,0,1,2,3,6,0,1,0,0,0,0,
buch,3.2813213293716665,-1.2322293562389819,B456,"Zedlitz-Neukirch, Leopold von",220,213,0,0,0,0,1,0,5,0,0,0,0,0,0,213,0,0,0,0,1,0,5,0,0,0,0,0,0,
buch,0.20169100448945218,-0.6612936995815969,Handtmann,"Handtmann, Eduard",280,266,10,4,0,0,0,0,2,0,1,1,0,0,0,266,10,4,0,0,0,0,2,0,1,1,0,0,0,
buch,1.6189658116774839,0.0707872266909334,Q1,"Fontane, Theodor",188,181,0,0,1,0,0,1,2,1,0,0,0,1,0,181,0,0,1,0,0,1,2,1,0,0,0,1,0,
buch,0.6361309552661097,-4.337379881460421,Q10,"Fontane, Theodor",1113,1055,1,0,1,4,5,4,2,1,14,1,0,1,0,1055,1,0,1,4,5,4,2,1,14,1,0,1,0,
buch,6.133182036317449,-0.20333944697893502,Q100,"Meyer, Paul",78,47,1,0,0,17,8,0,4,1,18,0,0,0,0,47,1,0,0,17,8,0,4,1,18,0,0,0,0,
buch,1.5515454382851424,0.32712198235323525,Q101,"Lepel, Bernhard von",228,189,0,2,0,2,2,21,2,2,3,0,0,0,0,189,0,2,0,2,2,21,2,2,3,0,0,0,0,
buch,0.069917491649148,2.614349368050148,Q102,"Baudissin, Wolf von",368,289,0,0,0,0,0,56,2,3,1,0,0,0,0,289,0,0,0,0,0,56,2,3,1,0,0,0,0,
buch,1.3467549755946242,0.21410753940749874,Q103,"Fontane, Theodor",250,242,1,0,1,4,0,2,2,3,4,0,0,0,0,242,1,0,1,4,0,2,2,3,4,0,0,0,0,
buch,-0.3127945596096763,0.23925712452231981,Q104,"Fontane, Theodor",532,495,1,0,0,0,0,8,2,1,1,0,0,0,0,495,1,0,0,0,0,8,2,1,1,0,0,0,0,
buch,1.5466884674820771,1.1723705894561751,Q105,[ohne Angabe],12,7,0,0,0,0,0,1,1,1,3,0,0,0,0,7,0,0,0,0,0,1,1,1,3,0,0,0,0,
buch,4.151092750063377,-0.268506266397081,Q106,"Fontane, Theodor",348,324,0,1,1,0,4,4,5,3,2,0,0,0,0,324,0,1,1,0,4,4,5,3,2,0,0,0,0,
buch,0.7087760073575496,0.4487005514404796,Q107,"Fontane, Theodor",306,297,0,0,0,0,1,1,2,2,1,0,0,0,0,297,0,0,0,0,1,1,2,2,1,0,0,0,0,
