ID,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,Verfasser,x,y
B454,0,0,0,4,2,3,10,0,0,0,0,0,0,Sonstige,-3.433944481,0.5476817598
B456,0,0,0,4,2,0,20,0,0,0,0,0,0,"Zedlitz-Neukirch, Leopold von",-7.102189868,5.006556
Handtmann,8,1,0,1,0,0,2,0,1,1,0,0,0,Sonstige,2.09286166,0.03288107177
Q1,0,0,0,3,0,0,5,2,0,0,0,1,0,"Fontane, Theodor",-1.035619155,1.157975117
Q10,0,0,0,23,4,38,6,2,14,1,0,2,0,"Fontane, Theodor",-4.476639709,0.8574107417
Q100,1,0,0,7,7,0,6,1,25,0,0,0,0,Sonstige,-5.571803869,2.319814972
Q101,0,0,0,14,0,20,3,2,4,0,0,0,0,"Lepel, Bernhard von",1.156964778,0.3606495131
Q102,0,0,0,32,0,57,5,3,1,0,0,0,0,Sonstige,1.835006428,1.950330437
Q103,1,0,0,1,0,2,3,3,0,0,0,0,0,"Fontane, Theodor",0.7541564737,1.026643611
Q104,0,0,0,25,0,6,6,1,1,0,0,0,0,"Fontane, Theodor",-0.7857926923,-0.117871845
Q105,0,0,0,0,0,1,2,1,3,0,0,0,0,[ohne Angabe],1.63472241,0.5575763595
Q106,0,1,1,13,4,1,8,3,2,0,0,0,0,"Fontane, Theodor",-2.98738049,2.131503896
Q107,0,0,0,4,0,1,6,2,1,0,0,0,0,"Fontane, Theodor",-0.6259017359,0.3655861042
Q108,0,5,0,22,0,8,6,3,5,0,1,0,0,Sonstige,-0.8406035074,-1.450602269
Q109,0,4,0,42,0,3,3,1,0,0,0,0,0,"Storm, Theodor",1.563518762,-0.8989164631
Q11,1,1,0,43,7,80,6,4,15,0,0,0,0,"Fontane, Theodor",-4.414762502,4.749657704
